placeDcid,placeName,Date:Count_Person_AmericanIndianAndAlaskaNativeAlone,Value:Count_Person_AmericanIndianAndAlaskaNativeAlone,Source:Count_Person_AmericanIndianAndAlaskaNativeAlone
geoId/01001,Autauga County,2022,59,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01003,Baldwin County,2022,848,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01005,Barbour County,2022,74,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01007,Bibb County,2022,21,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01009,Blount County,2022,227,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01011,Bullock County,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01013,Butler County,2022,69,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01015,Calhoun County,2022,258,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01017,Chambers County,2022,21,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01019,Cherokee County,2022,120,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01021,Chilton County,2022,647,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01023,Choctaw County,2022,28,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01025,Clarke County,2022,15,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01027,Clay County,2022,5,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01029,Cleburne County,2022,35,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01031,Coffee County,2022,368,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01033,Colbert County,2022,178,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01035,Conecuh County,2022,33,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01037,Coosa County,2022,9,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01039,Covington County,2022,117,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01041,Crenshaw County,2022,10,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01043,Cullman County,2022,355,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01045,Dale County,2022,476,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01047,Dallas County,2022,208,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01049,DeKalb County,2022,1098,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01051,Elmore County,2022,248,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01053,Escambia County,2022,1124,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01055,Etowah County,2022,329,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01057,Fayette County,2022,24,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01059,Franklin County,2022,134,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01061,Geneva County,2022,71,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01063,Greene County,2022,7,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01065,Hale County,2022,42,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01067,Henry County,2022,60,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
